sample_id population method sex
BC10 BC RAD M
BC11 BC RAD F
BC12 BC RAD NA
BC13 BC RAD NA
BC14 BC RAD M
BC15 BC RAD M
BC16 BC RAD NA
BC17 BC RAD M
BC18 BC RAD M
BC19 BC RAD NA
BC2 BC RAD M
BC20 BC RAD NA
BC21 BC RAD F
BC22 BC RAD M
BC23 BC RAD M
BC24 BC RAD M
BC25 BC RAD M
BC26 BC RAD M
BC27 BC RAD M
BC28 BC RAD M
BC29 BC RAD M
BC30 BC RAD M
BC31 BC RAD M
BC32 BC RAD M
BC33 BC RAD F
BC34 BC RAD F
BC35 BC RAD NA
BC36 BC RAD F
BC37 BC RAD M
BC38 BC RAD M
BC39 BC RAD F
BC4 BC RAD M
BC40 BC RAD M
BC41 BC RAD F
BC42 BC RAD NA
BC43 BC RAD NA
BC44 BC RAD M
BC45 BC RAD F
BC46 BC RAD M
BC47 BC RAD NA
BC48 BC RAD F
BC49 BC RAD NA
BC5 BC RAD NA
BC50 BC RAD M
BC7 BC RAD M
BC8 BC RAD M
BC9 BC RAD NA
CL1 CL RAD M
CL10 CL RAD M
CL11 CL RAD M
CL12 CL RAD M
CL13 CL RAD M
CL14 CL RAD M
CL15 CL RAD M
CL16 CL RAD F
CL17 CL RAD M
CL18 CL RAD F
CL19 CL RAD M
CL2 CL RAD F
CL20 CL RAD M
CL21 CL RAD F
CL22 CL RAD F
CL23 CL RAD F
CL24 CL RAD F
CL25 CL RAD F
CL26 CL RAD M
CL27 CL RAD M
CL28 CL RAD M
CL29 CL RAD F
CL3 CL RAD F
CL30 CL RAD M
CL31 CL RAD M
CL32 CL RAD NA
CL33 CL RAD M
CL34 CL RAD M
CL35 CL RAD M
CL36 CL RAD M
CL37 CL RAD M
CL38 CL RAD F
CL39 CL RAD M
CL4 CL RAD F
CL40 CL RAD M
CL41 CL RAD M
CL42 CL RAD F
CL43 CL RAD F
CL44 CL RAD M
CL45 CL RAD M
CL46 CL RAD M
CL47 CL RAD F
CL48 CL RAD F
CL49 CL RAD F
CL5 CL RAD F
CL50 CL RAD F
CL6 CL RAD F
CL7 CL RAD M
CL8 CL RAD M
CL9 CL RAD M
MJ1 MJ RAD M
MJ10 MJ RAD F
MJ11 MJ RAD M
MJ12 MJ RAD F
MJ13 MJ RAD M
MJ14 MJ RAD NA
MJ15 MJ RAD M
MJ16 MJ RAD M
MJ17 MJ RAD NA
MJ18 MJ RAD NA
MJ19 MJ RAD M
MJ2 MJ RAD F
MJ20 MJ RAD NA
MJ21 MJ RAD F
MJ22 MJ RAD M
MJ23 MJ RAD M
MJ24 MJ RAD F
MJ25 MJ RAD M
MJ27 MJ RAD M
MJ28 MJ RAD F
MJ29 MJ RAD M
MJ2_or_26 MJ_or_ RAD NA
MJ30 MJ RAD NA
MJ31 MJ RAD M
MJ32 MJ RAD F
MJ33 MJ RAD F
MJ34 MJ RAD NA
MJ35 MJ RAD NA
MJ36 MJ RAD F
MJ37 MJ RAD M
