"sample_id" "population" "species"
"BC10" "BC" "cmn"
"BC11" "BC" "cmn"
"BC12" "BC" "cmn"
"BC13" "BC" "cmn"
"BC14" "BC" "cmn"
"BC15" "BC" "cmn"
"BC16" "BC" "cmn"
"BC17" "BC" "cmn"
"BC18" "BC" "cmn"
"BC19" "BC" "cmn"
"BC2" "BC" "cmn"
"BC20" "BC" "cmn"
"BC21" "BC" "cmn"
"BC22" "BC" "cmn"
"BC23" "BC" "cmn"
"BC24" "BC" "cmn"
"BC25" "BC" "cmn"
"BC26" "BC" "cmn"
"BC27" "BC" "cmn"
"BC28" "BC" "cmn"
"BC29" "BC" "cmn"
"BC30" "BC" "cmn"
"BC31" "BC" "cmn"
"BC32" "BC" "cmn"
"BC33" "BC" "cmn"
"BC34" "BC" "cmn"
"BC35" "BC" "cmn"
"BC36" "BC" "cmn"
"BC37" "BC" "cmn"
"BC38" "BC" "cmn"
"BC39" "BC" "cmn"
"BC4" "BC" "cmn"
"BC40" "BC" "cmn"
"BC41" "BC" "cmn"
"BC42" "BC" "cmn"
"BC43" "BC" "cmn"
"BC44" "BC" "cmn"
"BC45" "BC" "cmn"
"BC46" "BC" "cmn"
"BC47" "BC" "cmn"
"BC48" "BC" "cmn"
"BC49" "BC" "cmn"
"BC5" "BC" "cmn"
"BC50" "BC" "cmn"
"BC7" "BC" "cmn"
"BC8" "BC" "cmn"
"BC9" "BC" "cmn"
"CL1" "CL" "wht"
"CL10" "CL" "cmn"
"CL11" "CL" "wht"
"CL12" "CL" "wht"
"CL13" "CL" "cmn"
"CL14" "CL" "wht"
"CL15" "CL" "wht"
"CL16" "CL" "cmn"
"CL17" "CL" "wht"
"CL18" "CL" "wht"
"CL19" "CL" "cmn"
"CL2" "CL" "wht"
"CL20" "CL" "wht"
"CL21" "CL" "cmn"
"CL22" "CL" "wht"
"CL23" "CL" "cmn"
"CL24" "CL" "cmn"
"CL25" "CL" "wht"
"CL26" "CL" "wht"
"CL27" "CL" "cmn"
"CL28" "CL" "cmn"
"CL29" "CL" "cmn"
"CL3" "CL" "wht"
"CL30" "CL" "cmn"
"CL31" "CL" "wht"
"CL32" "CL" "wht"
"CL33" "CL" "wht"
"CL34" "CL" "cmn"
"CL35" "CL" "cmn"
"CL36" "CL" "wht"
"CL37" "CL" "wht"
"CL38" "CL" "wht"
"CL39" "CL" "wht"
"CL4" "CL" "wht"
"CL40" "CL" "wht"
"CL41" "CL" "cmn"
"CL42" "CL" "wht"
"CL43" "CL" "cmn"
"CL44" "CL" "wht"
"CL45" "CL" "wht"
"CL46" "CL" "cmn"
"CL47" "CL" "wht"
"CL48" "CL" "wht"
"CL49" "CL" "wht"
"CL5" "CL" "cmn"
"CL50" "CL" "cmn"
"CL6" "CL" "wht"
"CL7" "CL" "wht"
"CL8" "CL" "cmn"
"CL9" "CL" "wht"
"MJ1" "MJ" "cmn"
"MJ10" "MJ" "cmn"
"MJ11" "MJ" "cmn"
"MJ12" "MJ" "cmn"
"MJ13" "MJ" "cmn"
"MJ14" "MJ" "cmn"
"MJ15" "MJ" "cmn"
"MJ16" "MJ" "cmn"
"MJ17" "MJ" "cmn"
"MJ18" "MJ" "cmn"
"MJ19" "MJ" "cmn"
"MJ2" "MJ" "cmn"
"MJ20" "MJ" "cmn"
"MJ21" "MJ" "cmn"
"MJ22" "MJ" "cmn"
"MJ23" "MJ" "cmn"
"MJ24" "MJ" "cmn"
"MJ25" "MJ" "cmn"
"MJ27" "MJ" "cmn"
"MJ28" "MJ" "cmn"
"MJ29" "MJ" "cmn"
"MJ2_or_26" "MJ_or_" "cmn"
"MJ30" "MJ" "cmn"
"MJ31" "MJ" "cmn"
"MJ32" "MJ" "cmn"
"MJ33" "MJ" "cmn"
"MJ34" "MJ" "cmn"
"MJ35" "MJ" "cmn"
"MJ36" "MJ" "cmn"
"MJ37" "MJ" "cmn"
"MJ38" "MJ" "cmn"
"MJ39" "MJ" "cmn"
"MJ4" "MJ" "cmn"
"MJ40" "MJ" "cmn"
"MJ41" "MJ" "cmn"
"MJ42" "MJ" "cmn"
"MJ43" "MJ" "cmn"
"MJ44" "MJ" "cmn"
"MJ45" "MJ" "cmn"
"MJ46" "MJ" "cmn"
"MJ47" "MJ" "cmn"
"MJ48" "MJ" "cmn"
"MJ5" "MJ" "cmn"
"MJ50" "MJ" "cmn"
"MJ6" "MJ" "cmn"
"MJ7" "MJ" "cmn"
"MJ8" "MJ" "cmn"
"MJ9" "MJ" "cmn"
"sal_riv12" "SR" "wht"
"sal_riv2" "SR" "wht"
"sal_riv21" "SR" "wht"
"sal_riv22" "SR" "wht"
"sal_riv23" "SR" "cmn"
"sal_riv24" "SR" "wht"
"sal_riv25" "SR" "wht"
"sal_riv26" "SR" "wht"
"sal_riv27" "SR" "wht"
"sal_riv28" "SR" "cmn"
"sal_riv29" "SR" "wht"
"sal_riv3" "SR" "wht"
"sal_riv30" "SR" "wht"
"sal_riv31" "SR" "wht"
"sal_riv32" "SR" "wht"
"sal_riv33" "SR" "wht"
"sal_riv34" "SR" "wht"
"sal_riv35" "SR" "wht"
"sal_riv36" "SR" "wht"
"sal_riv37" "SR" "cmn"
"sal_riv38" "SR" "wht"
"sal_riv39" "SR" "wht"
"sal_riv4" "SR" "wht"
"sal_riv40" "SR" "wht"
"sal_riv41" "SR" "wht"
"sal_riv42" "SR" "wht"
"sal_riv43" "SR" "cmn"
"sal_riv44" "SR" "wht"
"sal_riv45" "SR" "wht"
"sal_riv46" "SR" "wht"
"sal_riv47" "SR" "wht"
"sal_riv48" "SR" "cmn"
"sal_riv49" "SR" "wht"
"sal_riv5" "SR" "wht"
"sal_riv50" "SR" "wht"
"sal_riv6" "SR" "wht"
"sal_riv7" "SR" "cmn"
"sal_riv8" "SR" "wht"
"sal_riv9" "SR" "wht"
"FBC72_S28_L002" "CB" "cmn"
"FCB66_S37_L002" "CB" "cmn"
"FCB67_S36_L002" "CB" "cmn"
"FCB68_S22_L002" "CB" "cmn"
"FCB71_S29_L002" "CB" "cmn"
"FCB73_S27_L002" "CB" "cmn"
"FCB74_S23_L002" "CB" "cmn"
"FCB75_S33_L002" "CB" "cmn"
"FCB80_S32_L002" "CB" "cmn"
"FCB81_S31_L002" "CB" "cmn"
"FCL112_S16_L002" "CL" "wht"
"FCL113_S14_L002" "CL" "wht"
"FCL84_S1_L002" "CL" "wht"
"FCL85_S12_L002" "CL" "wht"
"FCL86_S15_L002" "CL" "wht"
"FCL88_S10_L002" "CL" "wht"
"FCL89_S19_L002" "CL" "wht"
"FCL91_S11_L002" "CL" "wht"
"FCL92_S20_L002" "CL" "wht"
"FCL93_S18_L002" "CL" "wht"
"MCB34_S30_L002" "CB" "cmn"
"MCB35_S39_L002" "CB" "cmn"
"MCB37_S24_L002" "CB" "cmn"
"MCB42_S35_L002" "CB" "cmn"
"MCB49_S40_L002" "CB" "cmn"
"MCB50_S21_L002" "CB" "cmn"
"MCB53_S26_L002" "CB" "cmn"
"MCB55_S38_L002" "CB" "cmn"
"MCB56_S25_L002" "CB" "cmn"
"MCB58_S34_L002" "CB" "cmn"
"MCL13_S4_L002" "CL" "wht"
"MCL14_S3_L002" "CL" "wht"
"MCL17_S13_L002" "CL" "wht"
"MCL18_S5_L002" "CL" "wht"
"MCL20_S6_L002" "CL" "wht"
"MCL25_S8_L002" "CL" "wht"
"MCL28_S9_L002" "CL" "wht"
"MCL30_S7_L002" "CL" "wht"
"MCL31_S17_L002" "CL" "wht"
"MCL7_S2_L002" "CL" "wht"
