sample_id sex
BC10 M
BC11 F
BC14 M
BC15 M
BC17 M
BC18 M
BC2 M
BC21 F
BC22 M
BC23 M
BC24 M
BC25 M
BC26 M
BC27 M
BC28 M
BC29 M
BC30 M
BC31 M
BC32 M
BC33 F
BC34 F
BC36 F
BC37 M
BC38 M
BC39 F
BC4 M
BC40 M
BC41 F
BC44 M
BC45 F
BC46 M
BC48 F
BC50 M
BC7 M
BC8 M
CL1 M
CL10 M
CL11 M
CL12 M
CL13 M
CL14 M
CL15 M
CL16 F
CL17 M
CL18 F
CL19 M
CL2 F
CL20 M
CL21 F
CL22 F
CL23 F
CL24 F
CL25 F
CL26 M
CL27 M
CL28 M
CL29 F
CL3 F
CL30 M
CL31 M
CL33 M
CL34 M
CL35 M
CL36 M
CL37 M
CL38 F
CL39 M
CL4 F
CL40 M
CL41 M
CL42 F
CL43 F
CL44 M
CL45 M
CL46 M
CL47 F
CL48 F
CL49 F
CL5 F
CL50 F
CL6 F
CL7 M
CL8 M
CL9 M
MJ1 M
MJ10 F
MJ11 M
MJ12 F
MJ13 M
MJ15 M
MJ16 M
MJ19 M
MJ2 F
MJ21 F
MJ22 M
MJ23 M
MJ24 F
MJ25 M
MJ27 M
MJ28 F
MJ29 M
MJ31 M
MJ32 F
MJ33 F
MJ36 F
MJ37 M
MJ38 F
MJ39 M
MJ4 M
MJ40 F
MJ41 M
MJ42 M
MJ43 M
MJ44 F
MJ45 M
MJ46 F
MJ47 F
MJ48 M
MJ5 M
MJ50 M
MJ6 M
MJ8 M
MJ9 F
sal_riv12 F
sal_riv2 F
sal_riv21 M
sal_riv22 M
sal_riv23 M
sal_riv24 M
sal_riv25 F
sal_riv26 M
sal_riv27 M
sal_riv28 M
sal_riv29 M
sal_riv3 M
sal_riv30 M
sal_riv31 M
sal_riv32 M
sal_riv33 F
sal_riv34 F
sal_riv35 F
sal_riv36 M
sal_riv37 M
sal_riv38 M
sal_riv39 M
sal_riv4 M
sal_riv40 F
sal_riv42 F
sal_riv43 M
sal_riv44 F
sal_riv45 M
sal_riv46 M
sal_riv47 F
sal_riv48 M
sal_riv49 M
sal_riv5 M
sal_riv50 M
sal_riv6 F
sal_riv7 F
sal_riv8 F
sal_riv9 M
